:@computed_region_csmy_5jwy,:@computed_region_f3tr_pr43,:@computed_region_nwen_78xc,address,city,county_name,effectiveness_of_care_national_comparison,effectiveness_of_care_national_comparison_footnote,efficient_use_of_medical_imaging_national_comparison,efficient_use_of_medical_imaging_national_comparison_footnote,emergency_services,hospital_name,hospital_overall_rating,hospital_overall_rating_footnote,hospital_ownership,hospital_type,location,location_address,location_city,location_state,location_zip,meets_criteria_for_meaningful_use_of_ehrs,mortality_national_comparison,mortality_national_comparison_footnote,patient_experience_national_comparison,patient_experience_national_comparison_footnote,phone_number,phone_number_type,provider_id,readmission_national_comparison,readmission_national_comparison_footnote,safety_of_care_national_comparison,safety_of_care_national_comparison_footnote,state,timeliness_of_care_national_comparison,timeliness_of_care_national_comparison_footnote,zip_code
,,,PO BOX 461,CARRINGTON,FOSTER,Same as the national average,,Same as the national average,,TRUE,CARRINGTON HEALTH CENTER,4,,Voluntary non-profit - Private,Critical Access Hospitals,POINT (-99.1262234 47.44972010000001),PO BOX 461,CARRINGTON,ND,,TRUE,Same as the national average,,Not Available,Results are not available for this reporting period,7016523141,,351318,Same as the national average,,Not Available,Results are not available for this reporting period,ND,Above the national average,,58421
48,2458,2458,3300 TILLMAN DRIVE,BENSALEM,BUCKS,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,FALSE,"Rothman Orthopaedic Specialty Hospital, LLC",Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Proprietary,Acute Care Hospitals,POINT (-74.962093 40.11435),3300 TILLMAN DRIVE,BENSALEM,PA,,TRUE,Not Available,Results are not available for this reporting period,Above the national average,,2152447400,,390322,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,PA,Not Available,Results are not available for this reporting period,19020
50,344,344,1215 E MICHIGAN AVENUE,LANSING,INGHAM,Above the national average,,Above the national average,,TRUE,EDWARD W SPARROW HOSPITAL,2,,Voluntary non-profit - Other,Acute Care Hospitals,POINT (-84.534816 42.733609),1215 E MICHIGAN AVENUE,LANSING,MI,,TRUE,Below the national average,,Below the national average,,5173641000,,230230,Below the national average,,Below the national average,,MI,Below the national average,,48912
22,261,261,130 N HOSPITAL DR,OAKDALE,ALLEN,Same as the national average,,Not Available,Results are not available for this reporting period,TRUE,OAKDALE COMMUNITY HOSPITAL,3,,Proprietary,Acute Care Hospitals,POINT (-92.644545 30.816264),130 N HOSPITAL DR,OAKDALE,LA,,TRUE,Same as the national average,,Not Available,Results are not available for this reporting period,3183353700,,190106,Same as the national average,,Not Available,Results are not available for this reporting period,LA,Above the national average,,71463
34,1715,1715,2000 OGDEN AVENUE,AURORA,KANE,Same as the national average,,Above the national average,,TRUE,COPLEY MEMORIAL HOSPITAL,3,,Voluntary non-profit - Private,Acute Care Hospitals,POINT (-88.268415 41.727722),2000 OGDEN AVENUE,AURORA,IL,,TRUE,Below the national average,,Above the national average,,6308986481,,140029,Above the national average,,Below the national average,,IL,Same as the national average,,60504
39,702,702,400 N STATE OF FRANKLIN RD,JOHNSON CITY,WASHINGTON,Same as the national average,,Same as the national average,,TRUE,JOHNSON CITY MEDICAL CENTER,2,,Voluntary non-profit - Private,Acute Care Hospitals,POINT (-82.38649 36.30826),400 N STATE OF FRANKLIN RD,JOHNSON CITY,TN,,TRUE,Below the national average,,Below the national average,,4234316111,,440063,Below the national average,,Same as the national average,,TN,Same as the national average,,37604
45,1857,1857,1708 WEST ROGERS AVENUE,BALTIMORE,BALTIMORE CITY,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,FALSE,MOUNT WASHINGTON PEDIATRIC HOSPITAL,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Voluntary non-profit - Private,Childrens,POINT (-76.653551 39.362029),1708 WEST ROGERS AVENUE,BALTIMORE,MD,,TRUE,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,4105785050,,213300,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,MD,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,21209
38,2662,2662,1350 EAST MARKET STREET,WARREN,TRUMBULL,Same as the national average,,Same as the national average,,TRUE,"STEWARD TRUMBULL MEMORIAL HOSPITAL, INC",4,,Proprietary,Acute Care Hospitals,POINT (-80.798765 41.236461),1350 EAST MARKET STREET,WARREN,OH,,TRUE,Above the national average,,Below the national average,,3308419820,,360055,Same as the national average,,Above the national average,,OH,Same as the national average,,44482
23,801,801,705 EAST FELT STREET,BROWNFIELD,TERRY,Below the national average,,Not Available,Results are not available for this reporting period,TRUE,BROWNFIELD REGIONAL MEDICAL CENTER,3,,Government - Hospital District or Authority,Acute Care Hospitals,POINT (-102.267864 33.187102),705 EAST FELT STREET,BROWNFIELD,TX,,TRUE,Same as the national average,,Not Available,Results are not available for this reporting period,8066373551,,450399,Same as the national average,,Not Available,Results are not available for this reporting period,TX,Above the national average,,79316
29,1593,1593,2105 EAST SOUTH BOULEVARD,MONTGOMERY,MONTGOMERY,Same as the national average,,Above the national average,,TRUE,BAPTIST MEDICAL CENTER SOUTH,3,,Government - Hospital District or Authority,Acute Care Hospitals,POINT (-86.276764 32.327144),2105 EAST SOUTH BOULEVARD,MONTGOMERY,AL,,TRUE,Below the national average,,Below the national average,,3342882100,,10023,Same as the national average,,Above the national average,,AL,Below the national average,,36116
45,1813,1813,500 UPPER CHESAPEAKE DRIVE,BEL AIR,HARFORD,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,TRUE,UNIVERSITY OF M D UPPER CHESAPEAKE MEDICAL CENTER,Not Available,Data suppressed by CMS for one or more quarters,Voluntary non-profit - Other,Acute Care Hospitals,POINT (-76.348354 39.519469),500 UPPER CHESAPEAKE DRIVE,BEL AIR,MD,,TRUE,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,4436433303,,210049,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,MD,Not Available,Results are not available for this reporting period,21014
,,,ONE INGALLS DRIVE,HARVEY,COOK,Same as the national average,,Same as the national average,,TRUE,INGALLS MEMORIAL HOSPITAL,3,,Voluntary non-profit - Private,Acute Care Hospitals,,ONE INGALLS DRIVE,HARVEY,IL,,TRUE,Above the national average,,Below the national average,,7083332300,,140191,Below the national average,,Above the national average,,IL,Same as the national average,,60426
47,2132,2132,301 PROSPECT AVENUE,SYRACUSE,ONONDAGA,Same as the national average,,Above the national average,,TRUE,ST JOSEPH'S HOSPITAL HEALTH CENTER,3,,Voluntary non-profit - Private,Acute Care Hospitals,POINT (-76.149176 43.055589),301 PROSPECT AVENUE,SYRACUSE,NY,,TRUE,Above the national average,,Same as the national average,,3154485111,,330140,Below the national average,,Below the national average,,NY,Below the national average,,13203
38,2800,2800,5897 COUNTY ROAD 107,PROCTORVILLE,LAWRENCE,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,FALSE,THREE GABLES SURGERY CENTER,Not Available,Results are not available for this reporting period,Proprietary,Acute Care Hospitals,POINT (-82.393298 38.440748),5897 COUNTY ROAD 107,PROCTORVILLE,OH,,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,7408869911,,360261,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,OH,Not Available,Results are not available for this reporting period,45669
48,738,738,360 W RUDDLE STREET,COALDALE,SCHUYLKILL,Same as the national average,,Same as the national average,,TRUE,ST LUKE'S MINERS MEMORIAL HOSPITAL,4,,Voluntary non-profit - Private,Acute Care Hospitals,POINT (-75.914152 40.821619),360 W RUDDLE STREET,COALDALE,PA,,TRUE,Same as the national average,,Same as the national average,,5706452131,,390183,Above the national average,,Same as the national average,,PA,Same as the national average,,18218
9,3133,3133,10101 RIDGEGATE PARKWAY,LONE TREE,DOUGLAS,Same as the national average,,Same as the national average,,TRUE,SKY RIDGE MEDICAL CENTER,4,,Proprietary,Acute Care Hospitals,POINT (-104.873191 39.528307),10101 RIDGEGATE PARKWAY,LONE TREE,CO,,TRUE,Same as the national average,,Above the national average,,7202251000,,60112,Above the national average,,Above the national average,,CO,Above the national average,,80124
32,400,400,701 SOUTH HOLLY AVENUE,COLLINS,COVINGTON,Same as the national average,,Not Available,Results are not available for this reporting period,TRUE,COVINGTON COUNTY HOSPITAL CAH,3,,Government - Local,Critical Access Hospitals,POINT (-89.554424 31.638236),701 SOUTH HOLLY AVENUE,COLLINS,MS,,TRUE,Same as the national average,,Not Available,Results are not available for this reporting period,6017656711,,251325,Same as the national average,,Not Available,Results are not available for this reporting period,MS,Same as the national average,,39428
23,3162,3162,9032 HARRY HINES BLVD,DALLAS,DALLAS,Same as the national average,,Not Available,Results are not available for this reporting period,TRUE,PINE CREEK MEDICAL CENTER LLP,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Proprietary,Acute Care Hospitals,POINT (-96.868835 32.840161),9032 HARRY HINES BLVD,DALLAS,TX,,TRUE,Not Available,Results are not available for this reporting period,Same as the national average,,2142312273,,450894,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,TX,Same as the national average,,75235
23,1978,1978,5016 S US HIGHWAY 75,DENISON,GRAYSON,Same as the national average,,Below the national average,,TRUE,TEXOMA MEDICAL CENTER,2,,Proprietary,Acute Care Hospitals,POINT (-96.586956 33.711133),5016 S US HIGHWAY 75,DENISON,TX,,TRUE,Same as the national average,,Above the national average,,9034164000,,450324,Same as the national average,,Below the national average,,TX,Above the national average,,75020
45,1857,1857,827 LINDEN AVENUE,BALTIMORE,BALTIMORE CITY,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,TRUE,UNIVERSITY OF MD MEDICAL CENTER MIDTOWN CAMPUS,Not Available,Data suppressed by CMS for one or more quarters,Voluntary non-profit - Other,Acute Care Hospitals,POINT (-76.62086 39.300389),827 LINDEN AVENUE,BALTIMORE,MD,,TRUE,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,4102258996,,210038,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,MD,Not Available,Results are not available for this reporting period,21201
15,10,10,624 HOSPITAL DRIVE,MOUNTAIN HOME,BAXTER,Same as the national average,,Same as the national average,,TRUE,BAXTER REGIONAL MEDICAL CENTER,3,,Voluntary non-profit - Private,Acute Care Hospitals,POINT (-92.395905 36.343067),624 HOSPITAL DRIVE,MOUNTAIN HOME,AR,,TRUE,Below the national average,,Same as the national average,,8705081000,,40027,Above the national average,,Above the national average,,AR,Above the national average,,72653
42,858,858,1200 JD ANDERSON DR,MORGANTOWN,MONONGALIA,Same as the national average,,Below the national average,,TRUE,MONONGALIA COUNTY GENERAL HOSPITAL,3,,Voluntary non-profit - Private,Acute Care Hospitals,POINT (-79.94639 39.66262),1200 JD ANDERSON DR,MORGANTOWN,WV,,TRUE,Same as the national average,,Above the national average,,3045981200,,510024,Same as the national average,,Same as the national average,,WV,Same as the national average,,26505
41,3038,3038,1000 MINERAL POINT AVE,JANESVILLE,ROCK,Same as the national average,,Above the national average,,TRUE,MERCY HEALTH SYSTEM CORP,3,,Voluntary non-profit - Private,Acute Care Hospitals,POINT (-89.032725 42.686744),1000 MINERAL POINT AVE,JANESVILLE,WI,,TRUE,Same as the national average,,Above the national average,,6087566080,,520066,Same as the national average,,Above the national average,,WI,Above the national average,,53548
8,1195,1195,1250 16TH STREET,SANTA MONICA,LOS ANGELES,Same as the national average,,Same as the national average,,TRUE,SANTA MONICA - UCLA MED CTR & ORTHOPAEDIC HOSPITAL,4,,Government - State,Acute Care Hospitals,POINT (-118.486315 34.027776),1250 16TH STREET,SANTA MONICA,CA,,TRUE,Above the national average,,Same as the national average,,3103194000,,50112,Below the national average,,Above the national average,,CA,Below the national average,,90404
,,,2000 TRANSMOUNTAIN RD,EL PASO,EL PASO,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,TRUE,THE HOSPITALS OF PROVIDENCE TRANSMOUNTAIN CAMPUS,Not Available,Results are not available for this reporting period,Proprietary,Acute Care Hospitals,,2000 TRANSMOUNTAIN RD,EL PASO,TX,,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,9158778136,,670120,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,TX,Not Available,Results are not available for this reporting period,79911
21,2636,2636,1039 MONTGOMERY STREET,CUSTER,CUSTER,Same as the national average,,Not Available,Results are not available for this reporting period,TRUE,REGIONAL HEALTH CUSTER HOSPITAL,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Voluntary non-profit - Private,Critical Access Hospitals,POINT (-103.592816 43.772281),1039 MONTGOMERY STREET,CUSTER,SD,,TRUE,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,6056739400,,431323,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,SD,Above the national average,,57730
8,1180,1180,601 DUBOCE AVE,SAN FRANCISCO,SAN FRANCISCO,Same as the national average,,Not Available,Results are not available for this reporting period,TRUE,CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,3,,Voluntary non-profit - Other,Acute Care Hospitals,POINT (-122.434656 37.769118),601 DUBOCE AVE,SAN FRANCISCO,CA,,TRUE,Same as the national average,,Below the national average,,4156006000,,50008,Above the national average,,Same as the national average,,CA,Same as the national average,,94117
8,1195,1195,9449 SAN FERNANDO RD,SUN VALLEY,LOS ANGELES,Same as the national average,,Not Available,Results are not available for this reporting period,TRUE,PACIFICA HOSPITAL OF THE VALLEY,2,,Proprietary,Acute Care Hospitals,POINT (-118.395669 34.241134),9449 SAN FERNANDO RD,SUN VALLEY,CA,,TRUE,Same as the national average,,Below the national average,,8187673310,,50378,Same as the national average,,Same as the national average,,CA,Same as the national average,,91352
9,1395,1395,1501 S POTOMAC ST,AURORA,ARAPAHOE,Above the national average,,Same as the national average,,TRUE,"MEDICAL CENTER OF AURORA, THE",4,,Proprietary,Acute Care Hospitals,POINT (-104.83115 39.689346),1501 S POTOMAC ST,AURORA,CO,,TRUE,Same as the national average,,Above the national average,,3038735511,,60100,Same as the national average,,Above the national average,,CO,Above the national average,,80012
37,2429,2429,1000 BLYTHE BLVD,CHARLOTTE,MECKLENBURG,Same as the national average,,Same as the national average,,TRUE,CAROLINAS MEDICAL CENTER/BEHAV HEALTH,3,,Government - Hospital District or Authority,Acute Care Hospitals,POINT (-80.839845 35.204983),1000 BLYTHE BLVD,CHARLOTTE,NC,,TRUE,Below the national average,,Same as the national average,,7043552000,,340113,Above the national average,,Above the national average,,NC,Same as the national average,,28203
,,,P O BOX 948/427 HIGHWAY 51 NORTH,BROOKHAVEN,LINCOLN,Same as the national average,,Same as the national average,,TRUE,KING'S DAUGHTERS MEDICAL CENTER-BROOKHAVEN,4,,Voluntary non-profit - Other,Acute Care Hospitals,POINT (-90.4406506 31.5790588),P O BOX 948/427 HIGHWAY 51 NORTH,BROOKHAVEN,MS,,TRUE,Same as the national average,,Above the national average,,6018336011,,250057,Same as the national average,,Same as the national average,,MS,Same as the national average,,39601
23,839,839,4343 NORTH JOSEY LANE,CARROLLTON,DENTON,Same as the national average,,Same as the national average,,FALSE,BAYLOR SCOTT AND WHITE MEDICAL CENTER CARROLLTON,2,,Proprietary,Acute Care Hospitals,POINT (-96.88395 33.028966),4343 NORTH JOSEY LANE,CARROLLTON,TX,,TRUE,Same as the national average,,Below the national average,,9723942255,,450730,Same as the national average,,Below the national average,,TX,Same as the national average,,75010
8,1195,1195,2801 ATLANTIC AVENUE,LONG BEACH,LOS ANGELES,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,TRUE,MILLER CHILDREN'S HOSPITAL,Not Available,Results are not available for this reporting period,Voluntary non-profit - Other,Childrens,POINT (-118.185098 33.807107),2801 ATLANTIC AVENUE,LONG BEACH,CA,,TRUE,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,5629338001,,53309,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,CA,Not Available,Results are not available for this reporting period,90806
8,1183,1183,240 SPRUCE STREET,GRIDLEY,BUTTE,Not Available,Results are not available for this reporting period,Same as the national average,,TRUE,ORCHARD HOSPITAL,2,,Voluntary non-profit - Private,Critical Access Hospitals,POINT (-121.689766 39.366973),240 SPRUCE STREET,GRIDLEY,CA,,TRUE,Same as the national average,,Not Available,Results are not available for this reporting period,5308465671,,51311,Below the national average,,Not Available,Results are not available for this reporting period,CA,Not Available,Results are not available for this reporting period,95948
38,590,590,1000 EAST WASHINGTON STREET,MEDINA,MEDINA,Same as the national average,,Same as the national average,,TRUE,MEDINA HOSPITAL,4,,Voluntary non-profit - Private,Acute Care Hospitals,POINT (-81.836933 41.138885),1000 EAST WASHINGTON STREET,MEDINA,OH,,TRUE,Same as the national average,,Above the national average,,3307251000,,360091,Above the national average,,Above the national average,,OH,Same as the national average,,44256
3,557,557,3000 32ND AVE SOUTH,FARGO,CASS,Same as the national average,,Same as the national average,,TRUE,ESSENTIA HEALTH-FARGO,4,,Voluntary non-profit - Private,Acute Care Hospitals,POINT (-96.828106 46.8325),3000 32ND AVE SOUTH,FARGO,ND,,TRUE,Same as the national average,,Same as the national average,,7013648000,,350070,Same as the national average,,Above the national average,,ND,Above the national average,,58104
48,2556,2556,700 EAST BROAD STREET,HAZLETON,LUZERNE,Below the national average,,Same as the national average,,TRUE,LEHIGH VALLEY HOSPITAL - HAZLETON,4,,Government - Local,Acute Care Hospitals,POINT (-75.963454 40.950464),700 EAST BROAD STREET,HAZLETON,PA,,TRUE,Above the national average,,Below the national average,,5705014000,,390185,Same as the national average,,Above the national average,,PA,Same as the national average,,18201
7,989,989,5102 WEST CAMPBELL AVENUE,PHOENIX,MARICOPA,Same as the national average,,Not Available,Results are not available for this reporting period,TRUE,ABRAZO MARYVALE CAMPUS,2,,Proprietary,Acute Care Hospitals,POINT (-112.170002 33.502148),5102 WEST CAMPBELL AVENUE,PHOENIX,AZ,,TRUE,Same as the national average,,Below the national average,,6238485000,,30001,Same as the national average,,Same as the national average,,AZ,Same as the national average,,85031
35,166,166,1542 S BLOOMINGTON ST,GREENCASTLE,PUTNAM,Same as the national average,,Same as the national average,,TRUE,PUTNAM COUNTY HOSPITAL,4,,Government - Local,Critical Access Hospitals,POINT (-86.845996 39.622205),1542 S BLOOMINGTON ST,GREENCASTLE,IN,,TRUE,Same as the national average,,Same as the national average,,7656535121,,151333,Above the national average,,Not Available,Results are not available for this reporting period,IN,Same as the national average,,46135
,,,"401 VANITY FAIR LANE, PO BOX 618",BUTLER,CHOCTAW,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,TRUE,CHOCTAW GENERAL HOSPITAL,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Voluntary non-profit - Private,Critical Access Hospitals,POINT (-88.20829069999999 32.0916736),"401 VANITY FAIR LANE, PO BOX 618",BUTLER,AL,,TRUE,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,2054599100,,11304,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,AL,Same as the national average,,36904
16,176,176,1825 LOGAN AVENUE,WATERLOO,BLACK HAWK,Same as the national average,,Same as the national average,,TRUE,ALLEN HOSPITAL,2,,Voluntary non-profit - Private,Acute Care Hospitals,POINT (-92.337758 42.525753),1825 LOGAN AVENUE,WATERLOO,IA,,TRUE,Below the national average,,Same as the national average,,3192353941,,160110,Below the national average,,Below the national average,,IA,Above the national average,,50703
39,2159,2159,1559 SPARTA STREET,MC MINNVILLE,WARREN,Same as the national average,,Same as the national average,,TRUE,SAINT THOMAS RIVER PARK HOSPITAL,3,,Proprietary,Acute Care Hospitals,POINT (-85.742339 35.698694),1559 SPARTA STREET,MC MINNVILLE,TN,,TRUE,Same as the national average,,Below the national average,,9318154101,,440151,Same as the national average,,Same as the national average,,TN,Same as the national average,,37110
5,1776,1776,1000 STATE STREET,MC CALL,VALLEY,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,TRUE,ST LUKE'S MCCALL,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Voluntary non-profit - Private,Critical Access Hospitals,POINT (-116.105956 44.888515),1000 STATE STREET,MC CALL,ID,,TRUE,Not Available,Results are not available for this reporting period,Above the national average,,2086342221,,131312,Same as the national average,,Not Available,Results are not available for this reporting period,ID,Not Available,Results are not available for this reporting period,83638
23,2024,2024,18300 ST JOHN DRIVE,NASSAU BAY,HARRIS,Same as the national average,,Not Available,Results are not available for this reporting period,TRUE,HOUSTON METHODIST ST JOHN HOSPITAL,3,,Voluntary non-profit - Private,Acute Care Hospitals,POINT (-95.085203 29.549771),18300 ST JOHN DRIVE,NASSAU BAY,TX,,TRUE,Same as the national average,,Same as the national average,,2813335503,,450709,Same as the national average,,Same as the national average,,TX,Below the national average,,77058
20,712,712,4050 WEST MEMORIAL ROAD,OKLAHOMA CITY,OKLAHOMA,Same as the national average,,Below the national average,,TRUE,"OKLAHOMA HEART HOSPITAL, LLC",5,,Physician,Acute Care Hospitals,POINT (-97.596201 35.609035),4050 WEST MEMORIAL ROAD,OKLAHOMA CITY,OK,,TRUE,Above the national average,,Above the national average,,4056083200,,370215,Above the national average,,Same as the national average,,OK,Above the national average,,73120
,,,ONE WICKERSHAM DRIVE,MANGUM,GREER,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,TRUE,QUARTZ MOUNTAIN MEDICAL CENTER,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Proprietary,Critical Access Hospitals,,ONE WICKERSHAM DRIVE,MANGUM,OK,,TRUE,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,5807823353,,371330,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,OK,Not Available,Results are not available for this reporting period,73554
21,3145,3145,525 N FOSTER,MITCHELL,DAVISON,Same as the national average,,Same as the national average,,TRUE,AVERA QUEEN OF PEACE,4,,Voluntary non-profit - Church,Acute Care Hospitals,POINT (-98.007325 43.713842),525 N FOSTER,MITCHELL,SD,,TRUE,Same as the national average,,Above the national average,,6059952000,,430013,Above the national average,,Same as the national average,,SD,Above the national average,,57301
22,1740,1740,67252 INDUSTRY LANE,COVINGTON,SAINT TAMMANY,Same as the national average,,Not Available,Results are not available for this reporting period,FALSE,FAIRWAY MEDICAL CENTER,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Physician,Acute Care Hospitals,POINT (-90.082943 30.408713),67252 INDUSTRY LANE,COVINGTON,LA,,TRUE,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,9858013010,,190267,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,LA,Not Available,Results are not available for this reporting period,70433
47,2183,2183,100 PARK STREET,GLENS FALLS,WARREN,Same as the national average,,Above the national average,,TRUE,GLENS FALLS HOSPITAL,4,,Voluntary non-profit - Private,Acute Care Hospitals,POINT (-73.644551 43.308335),100 PARK STREET,GLENS FALLS,NY,,TRUE,Same as the national average,,Above the national average,,5189261000,,330191,Above the national average,,Above the national average,,NY,Below the national average,,12801
,,,530 3RD ST NW,HARLOWTON,WHEATLAND,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,TRUE,WHEATLAND MEMORIAL HOSPITAL,Not Available,Results are not available for this reporting period,Government - Local,Critical Access Hospitals,POINT (-109.8412816 46.4370797),530 3RD ST NW,HARLOWTON,MT,,TRUE,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,4066324351,,271321,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,MT,Not Available,Results are not available for this reporting period,59036
45,424,424,25500 POINT LOOKOUT ROAD,LEONARDTOWN,SAINT MARYS,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,TRUE,MEDSTAR SAINT MARY'S HOSPITAL,Not Available,Data suppressed by CMS for one or more quarters,Voluntary non-profit - Private,Acute Care Hospitals,POINT (-76.640383 38.299239),25500 POINT LOOKOUT ROAD,LEONARDTOWN,MD,,TRUE,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,3014756001,,210028,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,MD,Not Available,Results are not available for this reporting period,20650
30,1081,1081,300 PINELLAS ST,CLEARWATER,PINELLAS,Same as the national average,,Same as the national average,,TRUE,MORTON PLANT HOSPITAL,3,,Voluntary non-profit - Private,Acute Care Hospitals,POINT (-82.803766 27.951855),300 PINELLAS ST,CLEARWATER,FL,,TRUE,Same as the national average,,Above the national average,,7274627000,,100127,Same as the national average,,Above the national average,,FL,Same as the national average,,33756
17,1934,1934,401 WOODLAND HILLS BLVD,FORT SCOTT,BOURBON,Same as the national average,,Same as the national average,,TRUE,MERCY HOSPITAL-FORT SCOTT,3,,Voluntary non-profit - Church,Acute Care Hospitals,POINT (-94.705355 37.805087),401 WOODLAND HILLS BLVD,FORT SCOTT,KS,,TRUE,Same as the national average,,Above the national average,,6202237057,,170058,Same as the national average,,Not Available,Results are not available for this reporting period,KS,Above the national average,,66701
16,1837,1837,220 ESSIE DAVISON DRIVE,CLARINDA,PAGE,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,TRUE,CLARINDA REGIONAL HEALTH CENTER,3,,Voluntary non-profit - Other,Critical Access Hospitals,POINT (-95.041406 40.723116),220 ESSIE DAVISON DRIVE,CLARINDA,IA,,TRUE,Same as the national average,,Not Available,Results are not available for this reporting period,7125422176,,161352,Same as the national average,,Not Available,Results are not available for this reporting period,IA,Above the national average,,51632
40,2947,2947,1500 N. 28TH STREET,RICHMOND,RICHMOND CITY,Same as the national average,,Not Available,Results are not available for this reporting period,TRUE,BON SECOURS RICHMOND COMMUNITY HOSPITAL,3,,Voluntary non-profit - Private,Acute Care Hospitals,POINT (-77.406271 37.540264),1500 N. 28TH STREET,RICHMOND,VA,,TRUE,Not Available,Results are not available for this reporting period,Same as the national average,,8042251700,,490094,Same as the national average,,Not Available,Results are not available for this reporting period,VA,Same as the national average,,23223
37,2393,2393,190 HOSPITAL DRIVE,HIGHLANDS,MACON,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,TRUE,HIGHLANDS CASHIERS HOSPITAL INC,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Voluntary non-profit - Private,Critical Access Hospitals,POINT (-83.18611 35.085652),190 HOSPITAL DRIVE,HIGHLANDS,NC,,TRUE,Same as the national average,,Not Available,Results are not available for this reporting period,8285261200,,341316,Same as the national average,,Not Available,Results are not available for this reporting period,NC,Not Available,Results are not available for this reporting period,28741
48,2504,2504,965 SHAMROCK LANE,CORRY,ERIE,Same as the national average,,Not Available,Results are not available for this reporting period,TRUE,CORRY MEMORIAL HOSPITAL,4,,Voluntary non-profit - Private,Critical Access Hospitals,POINT (-79.612891 41.935379),965 SHAMROCK LANE,CORRY,PA,,TRUE,Same as the national average,,Not Available,Results are not available for this reporting period,8146644641,,391308,Same as the national average,,Not Available,Results are not available for this reporting period,PA,Same as the national average,,16407
